company_name,local_account_no,statement_line_code,effective_from,effective_to
C&P,B10120,share_capital,1900-01-01,9999-12-31
C&P,B15110,retained_earnings,1900-01-01,9999-12-31
C&P,B35420,deferred_tax,1900-01-01,9999-12-31
C&P,B55135,accrued_income,1900-01-01,9999-12-31
C&P,B55430,other_receivables,1900-01-01,9999-12-31
C&P,B55480,trade_receivables,1900-01-01,9999-12-31
C&P,B55550,deposits,1900-01-01,9999-12-31
C&P,B55570,due_from_to_related_parties,1900-01-01,9999-12-31
C&P,B60110,office_cash,1900-01-01,9999-12-31
C&P,B60180,office_cash,1900-01-01,9999-12-31
C&P,B60210,office_cash,1900-01-01,9999-12-31
C&P,B65110,other_receivables,1900-01-01,9999-12-31
C&P,B65150,deposits,1900-01-01,9999-12-31
C&P,B65180,other_receivables,1900-01-01,9999-12-31
C&P,B65200,other_receivables,1900-01-01,9999-12-31
C&P,B65240,tax_recoverable,1900-01-01,9999-12-31
C&P,B65290,other_receivables,1900-01-01,2026-05-31
C&P,B65290,tax_recoverable,2026-06-01,9999-12-31
C&P,B70190,due_from_to_related_parties,1900-01-01,9999-12-31
C&P,B70280,trade_and_other_payables,1900-01-01,9999-12-31
C&P,B70340,trade_and_other_payables,1900-01-01,9999-12-31
C&P,B75120,tax_recoverable,1900-01-01,9999-12-31
C&P,B80120,other_receivables,1900-01-01,9999-12-31
C&P,B80170,trade_and_other_payables,1900-01-01,9999-12-31
C&P,CP-MGMTFEES,management_expense,1900-01-01,9999-12-31
C&P,CP-TAXEXPENSE,taxation,1900-01-01,9999-12-31
C&P,I10067,pension_admin_fee,1900-01-01,9999-12-31
C&P,I10121,other_income,1900-01-01,9999-12-31
C&P,I25079,premises,1900-01-01,9999-12-31
C&P,I25141,professional_fees,1900-01-01,9999-12-31
C&P,I25143,professional_fees,1900-01-01,9999-12-31
C&P,I25145,professional_fees,1900-01-01,9999-12-31
C&P,I25193,entertainment,1900-01-01,9999-12-31
C&P,I25358,general_expenses,1900-01-01,9999-12-31
C&P,I25360,general_expenses,1900-01-01,9999-12-31
C&P,I25360.2,general_expenses,1900-01-01,9999-12-31
C&P,I25401,insurance,1900-01-01,9999-12-31
C&P,I25428,it_costs,1900-01-01,9999-12-31
DRC,1020/080,insurance_commissions,1900-01-01,9999-12-31
DRC,B10120,share_capital,1900-01-01,9999-12-31
DRC,B15110,retained_earnings,1900-01-01,9999-12-31
DRC,B35140,ppe,1900-01-01,9999-12-31
DRC,B35160,ppe,1900-01-01,9999-12-31
DRC,B35170,ppe,1900-01-01,9999-12-31
DRC,B35180,ppe,1900-01-01,9999-12-31
DRC,B35200,ppe,1900-01-01,9999-12-31
DRC,B35210,ppe,1900-01-01,9999-12-31
DRC,B35220,ppe,1900-01-01,9999-12-31
DRC,B35240,ppe,1900-01-01,9999-12-31
DRC,B35280,ppe,1900-01-01,9999-12-31
DRC,B35290,ppe,1900-01-01,9999-12-31
DRC,B35350,ppe,1900-01-01,9999-12-31
DRC,B35370,ppe,1900-01-01,9999-12-31
DRC,B55110,other_receivables,1900-01-01,9999-12-31
DRC,B55360,other_receivables,1900-01-01,9999-12-31
DRC,B55480,trade_receivables,1900-01-01,9999-12-31
DRC,B55570,due_from_to_related_parties,1900-01-01,9999-12-31
DRC,B60090,office_cash,1900-01-01,9999-12-31
DRC,B60090.2,office_cash,1900-01-01,9999-12-31
DRC,B60110,client_cash,1900-01-01,9999-12-31
DRC,B60190,office_cash,1900-01-01,9999-12-31
DRC,B60190.2,office_cash,1900-01-01,9999-12-31
DRC,B60191,office_cash,1900-01-01,9999-12-31
DRC,B60192,office_cash,1900-01-01,9999-12-31
DRC,B60193,office_cash,1900-01-01,9999-12-31
DRC,B60430,office_cash,1900-01-01,9999-12-31
DRC,B65130,due_from_to_related_parties,1900-01-01,9999-12-31
DRC,B65160,placements,1900-01-01,9999-12-31
DRC,B70235,other_receivables,1900-01-01,9999-12-31
DRC,B70280,trade_and_other_payables,1900-01-01,9999-12-31
DRC,B70290,premium_payable,1900-01-01,9999-12-31
DRC,B70290.2,trade_and_other_payables,1900-01-01,9999-12-31
DRC,B70400,trade_and_other_payables,1900-01-01,9999-12-31
DRC,B75120,tax_recoverable,1900-01-01,9999-12-31
DRC,B80170,trade_and_other_payables,1900-01-01,9999-12-31
DRC,I25001,personnel_costs,1900-01-01,9999-12-31
DRC,I25003,personnel_costs,1900-01-01,9999-12-31
DRC,I25005,personnel_costs,1900-01-01,9999-12-31
DRC,I25019,personnel_costs,1900-01-01,9999-12-31
DRC,I25020,personnel_costs,1900-01-01,9999-12-31
DRC,I25026,personnel_costs,1900-01-01,9999-12-31
DRC,I25029,personnel_costs,1900-01-01,9999-12-31
DRC,I25032,personnel_costs,1900-01-01,9999-12-31
DRC,I25072,premises,1900-01-01,9999-12-31
DRC,I25075,premises,1900-01-01,9999-12-31
